epoch,loss,positive_rate,examples,positives,negatives
1,0.348832,0.111111,2217222,246358,1970864
2,0.340224,0.111111,2217222,246358,1970864
3,0.332419,0.111111,2217222,246358,1970864
4,0.325433,0.111111,2217222,246358,1970864
5,0.319252,0.111111,2217222,246358,1970864
6,0.313836,0.111111,2217222,246358,1970864
7,0.309122,0.111111,2217222,246358,1970864
8,0.305033,0.111111,2217222,246358,1970864
9,0.301487,0.111111,2217222,246358,1970864
10,0.298405,0.111111,2217222,246358,1970864
11,0.295717,0.111111,2217222,246358,1970864
12,0.29336,0.111111,2217222,246358,1970864
13,0.291281,0.111111,2217222,246358,1970864
14,0.289435,0.111111,2217222,246358,1970864
15,0.287785,0.111111,2217222,246358,1970864
16,0.286301,0.111111,2217222,246358,1970864
17,0.284958,0.111111,2217222,246358,1970864
18,0.283734,0.111111,2217222,246358,1970864
19,0.282611,0.111111,2217222,246358,1970864
20,0.281577,0.111111,2217222,246358,1970864
21,0.280618,0.111111,2217222,246358,1970864
22,0.279725,0.111111,2217222,246358,1970864
23,0.278889,0.111111,2217222,246358,1970864
24,0.278103,0.111111,2217222,246358,1970864
25,0.277362,0.111111,2217222,246358,1970864
26,0.27666,0.111111,2217222,246358,1970864
27,0.275993,0.111111,2217222,246358,1970864
28,0.275358,0.111111,2217222,246358,1970864
29,0.274751,0.111111,2217222,246358,1970864
30,0.274171,0.111111,2217222,246358,1970864
31,0.273613,0.111111,2217222,246358,1970864
32,0.273078,0.111111,2217222,246358,1970864
33,0.272562,0.111111,2217222,246358,1970864
34,0.272064,0.111111,2217222,246358,1970864
35,0.271584,0.111111,2217222,246358,1970864
36,0.27112,0.111111,2217222,246358,1970864
37,0.27067,0.111111,2217222,246358,1970864
38,0.270235,0.111111,2217222,246358,1970864
39,0.269813,0.111111,2217222,246358,1970864
40,0.269403,0.111111,2217222,246358,1970864
41,0.269006,0.111111,2217222,246358,1970864
42,0.268619,0.111111,2217222,246358,1970864
43,0.268244,0.111111,2217222,246358,1970864
44,0.267878,0.111111,2217222,246358,1970864
45,0.267523,0.111111,2217222,246358,1970864
46,0.267177,0.111111,2217222,246358,1970864
47,0.26684,0.111111,2217222,246358,1970864
48,0.266512,0.111111,2217222,246358,1970864
49,0.266192,0.111111,2217222,246358,1970864
50,0.26588,0.111111,2217222,246358,1970864
51,0.265576,0.111111,2217222,246358,1970864
52,0.265279,0.111111,2217222,246358,1970864
53,0.26499,0.111111,2217222,246358,1970864
54,0.264708,0.111111,2217222,246358,1970864
55,0.264432,0.111111,2217222,246358,1970864
56,0.264163,0.111111,2217222,246358,1970864
57,0.2639,0.111111,2217222,246358,1970864
58,0.263643,0.111111,2217222,246358,1970864
59,0.263392,0.111111,2217222,246358,1970864
60,0.263147,0.111111,2217222,246358,1970864
61,0.262907,0.111111,2217222,246358,1970864
62,0.262673,0.111111,2217222,246358,1970864
63,0.262443,0.111111,2217222,246358,1970864
64,0.262219,0.111111,2217222,246358,1970864
65,0.262,0.111111,2217222,246358,1970864
66,0.261785,0.111111,2217222,246358,1970864
67,0.261575,0.111111,2217222,246358,1970864
68,0.261369,0.111111,2217222,246358,1970864
69,0.261168,0.111111,2217222,246358,1970864
70,0.26097,0.111111,2217222,246358,1970864
71,0.260777,0.111111,2217222,246358,1970864
72,0.260587,0.111111,2217222,246358,1970864
73,0.260402,0.111111,2217222,246358,1970864
74,0.26022,0.111111,2217222,246358,1970864
75,0.260041,0.111111,2217222,246358,1970864
76,0.259866,0.111111,2217222,246358,1970864
77,0.259694,0.111111,2217222,246358,1970864
78,0.259525,0.111111,2217222,246358,1970864
79,0.25936,0.111111,2217222,246358,1970864
80,0.259198,0.111111,2217222,246358,1970864
81,0.259038,0.111111,2217222,246358,1970864
82,0.258882,0.111111,2217222,246358,1970864
83,0.258728,0.111111,2217222,246358,1970864
84,0.258577,0.111111,2217222,246358,1970864
85,0.258428,0.111111,2217222,246358,1970864
86,0.258282,0.111111,2217222,246358,1970864
87,0.258139,0.111111,2217222,246358,1970864
88,0.257998,0.111111,2217222,246358,1970864
89,0.257859,0.111111,2217222,246358,1970864
90,0.257723,0.111111,2217222,246358,1970864
91,0.257589,0.111111,2217222,246358,1970864
92,0.257457,0.111111,2217222,246358,1970864
93,0.257327,0.111111,2217222,246358,1970864
94,0.257199,0.111111,2217222,246358,1970864
95,0.257073,0.111111,2217222,246358,1970864
96,0.256949,0.111111,2217222,246358,1970864
97,0.256826,0.111111,2217222,246358,1970864
98,0.256706,0.111111,2217222,246358,1970864
99,0.256588,0.111111,2217222,246358,1970864
100,0.256471,0.111111,2217222,246358,1970864
101,0.256356,0.111111,2217222,246358,1970864
102,0.256242,0.111111,2217222,246358,1970864
103,0.25613,0.111111,2217222,246358,1970864
104,0.25602,0.111111,2217222,246358,1970864
105,0.255911,0.111111,2217222,246358,1970864
106,0.255804,0.111111,2217222,246358,1970864
107,0.255698,0.111111,2217222,246358,1970864
108,0.255594,0.111111,2217222,246358,1970864
109,0.25549,0.111111,2217222,246358,1970864
110,0.255389,0.111111,2217222,246358,1970864
111,0.255288,0.111111,2217222,246358,1970864
112,0.255189,0.111111,2217222,246358,1970864
113,0.255091,0.111111,2217222,246358,1970864
114,0.254995,0.111111,2217222,246358,1970864
115,0.254899,0.111111,2217222,246358,1970864
116,0.254805,0.111111,2217222,246358,1970864
117,0.254712,0.111111,2217222,246358,1970864
118,0.25462,0.111111,2217222,246358,1970864
119,0.254529,0.111111,2217222,246358,1970864
120,0.254439,0.111111,2217222,246358,1970864
121,0.25435,0.111111,2217222,246358,1970864
122,0.254263,0.111111,2217222,246358,1970864
123,0.254176,0.111111,2217222,246358,1970864
124,0.25409,0.111111,2217222,246358,1970864
125,0.254005,0.111111,2217222,246358,1970864
126,0.253921,0.111111,2217222,246358,1970864
127,0.253838,0.111111,2217222,246358,1970864
128,0.253756,0.111111,2217222,246358,1970864
129,0.253675,0.111111,2217222,246358,1970864
130,0.253595,0.111111,2217222,246358,1970864
131,0.253515,0.111111,2217222,246358,1970864
132,0.253437,0.111111,2217222,246358,1970864
133,0.253359,0.111111,2217222,246358,1970864
134,0.253282,0.111111,2217222,246358,1970864
135,0.253206,0.111111,2217222,246358,1970864
136,0.25313,0.111111,2217222,246358,1970864
137,0.253056,0.111111,2217222,246358,1970864
138,0.252982,0.111111,2217222,246358,1970864
139,0.252908,0.111111,2217222,246358,1970864
140,0.252836,0.111111,2217222,246358,1970864
141,0.252764,0.111111,2217222,246358,1970864
142,0.252693,0.111111,2217222,246358,1970864
143,0.252623,0.111111,2217222,246358,1970864
144,0.252553,0.111111,2217222,246358,1970864
145,0.252484,0.111111,2217222,246358,1970864
146,0.252416,0.111111,2217222,246358,1970864
147,0.252348,0.111111,2217222,246358,1970864
148,0.252281,0.111111,2217222,246358,1970864
149,0.252214,0.111111,2217222,246358,1970864
150,0.252148,0.111111,2217222,246358,1970864
151,0.252083,0.111111,2217222,246358,1970864
152,0.252018,0.111111,2217222,246358,1970864
153,0.251954,0.111111,2217222,246358,1970864
154,0.251891,0.111111,2217222,246358,1970864
155,0.251828,0.111111,2217222,246358,1970864
156,0.251765,0.111111,2217222,246358,1970864
157,0.251703,0.111111,2217222,246358,1970864
158,0.251642,0.111111,2217222,246358,1970864
159,0.251581,0.111111,2217222,246358,1970864
160,0.251521,0.111111,2217222,246358,1970864
